date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:56	2544/2544	---M--	200	added ('OK')	text/css	date:Fri,%2018%20May%202018%2013:09:46%20GMT	https://herfybd.com/assets/css/viewbox.css	C:/My%20Web%20Sites/naya/herfybd.com/assets/css/viewbox.css	(from https://herfybd.com/)
22:19:56	36608/36608	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Dec%202018%2008:17:46%20GMT	https://herfybd.com/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/naya/herfybd.com/assets/css/jquery-ui.min.css	(from https://herfybd.com/)
22:19:56	6934/6934	---M--	200	added ('OK')	text/css	date:Tue,%2014%20May%202019%2007:06:51%20GMT	https://herfybd.com/assets/css/flexslider.css	C:/My%20Web%20Sites/naya/herfybd.com/assets/css/flexslider.css	(from https://herfybd.com/)
22:19:57	97184/97184	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/js/jquery/jquery.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery/jquery.js	(from https://herfybd.com/)
22:19:57	23800/23800	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Mar%202016%2007:22:08%20GMT	https://herfybd.com/assets/js/jquery/jRate.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery/jRate.js	(from https://herfybd.com/)
22:19:57	3123/3123	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Oct%202018%2005:22:52%20GMT	https://herfybd.com/assets/js/jquery.elimore.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery.elimore.js	(from https://herfybd.com/)
22:19:57	5236/5236	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/js/jquery/jquery.bpopup.min.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery/jquery.bpopup.min.js	(from https://herfybd.com/)
22:19:58	10056/10056	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery/jquery-migrate.min.js	(from https://herfybd.com/)
22:19:58	1005/1005	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Oct%202018%2006:00:26%20GMT	https://herfybd.com/assets/js/script.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/script.js	(from https://herfybd.com/)
22:19:58	51627/51627	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:44%20GMT	https://herfybd.com/assets/js/jquery.dd.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery.dd.js	(from https://herfybd.com/)
